,merchant,max,min
0,Maxi-Aids,449.95001220703125,449.95001220703125
1,Hisense USA Corporation,496.6566569010417,484.989990234375
2,frankmarks506frank,101.98999786376953,101.98999786376953
3,,,
4,digital-solomon,359.989990234375,359.989990234375
5,sando_distributions,58.45000076293945,58.45000076293945
6,Walts TV,1641.41856275286,989.7185679844448
7,advance_performance_shop,78.0,78.0
8,Echo and Optics,3011.719970703125,3011.719970703125
9,"SaveCentral, LLC",180.61428669520788,152.74570955548967
10,Beach Audio Inc,129.83487285711826,127.46589812254294
11,give5tocancer,261.0,261.0
12,WeaKnees DVR Superstore,159.99000549316406,159.99000549316406
13,6ave,761.2433420817057,761.2433420817057
14,pro_car_audio_consulting,365.0,365.0
15,Accessories Wholesale,149.99000549316406,149.99000549316406
16,n.n3288,54.563332875569664,54.563332875569664
17,WAL-MART COM,73.14000129699707,68.14000129699707
18,Computer Gear,349.9700012207031,349.9700012207031
19,cokekid88,94.94999694824219,94.94999694824219
