,rating,name
0,4.8522727272727275,Logitech G403 Wireless Gaming Mouse with High Performance Gaming Sensor
1,4.851851851851852,"AW6500 All-Weather Outdoor Speaker (White, Single)"
2,4.83,Sony Mini Digital Video Cassettes - DVC - 1 Hour
3,4.798245614035087,Corsair CMSA8GX3M2A1066C7 Apple 8 GB Dual Channel Kit DDR3 1066 (PC3 8500) 204-Pin DDR3 Laptop SO-DIMM Memory 1.5V
4,4.796296296296297,2TB Red 5400 rpm SATA III 3.5 Internal NAS HDD
5,4.766355140186916,Bowers & Wilkins P7 Wired Over Ear Headphones
6,4.762886597938144,"JBL - 6"" x 8"" 2-Way Coaxial Car Speakers with Polypropylene Cones (Pair) - Black"
7,4.659090909090909,"Midland Weather Alert Radio, 1.0 CT"
8,4.637316561844863,Sony SRSXB30/BLK XB30 Portable Wireless Speaker with Bluetooth
9,4.625954198473282,Flipside 300 Backpack (Black)
10,4.614457831325301,NS-SP1800BL 5.1-Channel Home Theater System (Black)
11,4.606060606060606,Microsoft Surface Pro 4 Type Cover with Fingerprint ID
12,4.604477611940299,JVC KD-X320BTS Apple iPod and Android Digital Media Receiver with Bluetooth
13,4.570469798657718,Nighthawk AC1900 Dual-Band Wi-Fi USB Adapter
14,4.55,Samsung Universal 3100mAh Portable External Battery Charger - White
15,4.549738219895288,PNY Anarchy 16GB Kit (2x8GB) DDR4 2400MHz (PC4-19200) CL15 Desktop Memory (BLUE) - MD16GK2D4240015AB
16,4.526923076923077,"Alpine - 6-1/2"" 2-Way Coaxial Car Speakers with Polypropylene Cones (Pair) - Black"
17,4.5,XPS 8920 Tower Desktop Computer
18,4.476510067114094,Sony LBT-GPX555 Mini-System with Bluetooth and NFC
19,4.45679012345679,Sanus VLF410B1 10-Inch Super Slim Full-Motion Mount for 37 - 84 Inches TV's
